"Date","Price","Open","High","Low","Vol.","Change..","log_return"
"30/12/2018",10767.69,"10,477.77","10,786.34","10,386.97","267.73M","1.98%",0.0195751949038238
"23/12/2018",10558.96,"10,607.42","10,635.45","10,279.20","161.60M","-0.70%",-0.00706469952076409
"16/12/2018",10633.82,"10,852.99","10,886.80","10,512.64","636.09M","-2.13%",-0.0215779928621079
"09/12/2018",10865.77,"10,726.17","10,988.77","10,585.77","509.29M","0.72%",0.00717473311697485
"02/12/2018",10788.09,"11,534.75","11,566.97","10,762.41","506.02M","-4.17%",-0.0425687293673348
"25/11/2018",11257.24,"11,315.90","11,403.72","11,208.60","452.82M","0.58%",0.00575059057067299
"18/11/2018",11192.69,"11,384.00","11,419.55","11,009.25","431.82M","-1.31%",-0.0131635911909553
"11/11/2018",11341,"11,591.59","11,598.51","11,233.21","525.30M","-1.63%",-0.0164550003679889
"04/11/2018",11529.16,"11,522.33","11,648.79","11,418.35","436.95M","0.09%",0.000882500388104029
"28/10/2018",11518.99,"11,270.67","11,689.96","11,212.58","550.60M","2.84%",0.0280278439013224
"21/10/2018",11200.62,"11,665.68","11,677.45","11,051.04","583.00M","-3.06%",-0.0310478498199453
"14/10/2018",11553.83,"11,523.81","11,847.79","11,459.08","491.94M","0.26%",0.00260165397612466
"07/10/2018",11523.81,"12,044.96","12,072.27","11,514.55","529.39M","-4.86%",-0.0497731106306643
"30/09/2018",12111.9,"12,265.89","12,373.29","12,103.55","365.40M","-1.10%",-0.0110705221944884
"23/09/2018",12246.73,"12,383.42","12,456.69","12,190.57","444.58M","-1.48%",-0.0149247368961164
"16/09/2018",12430.88,"12,056.38","12,458.30","12,040.80","785.83M","2.53%",0.0249695219120221
"09/09/2018",12124.33,"11,950.55","12,134.54","11,865.47","474.91M","1.38%",0.0136773659757293
"02/09/2018",11959.63,"12,338.36","12,402.87","11,888.57","447.39M","-3.27%",-0.0332570654674481
"26/08/2018",12364.06,"12,462.75","12,597.02","12,348.91","358.00M","-0.25%",-0.00246056238831153
"19/08/2018",12394.52,"12,263.01","12,444.35","12,245.56","338.33M","1.51%",0.014954107291693
"12/08/2018",12210.55,"12,346.75","12,461.82","12,120.65","455.68M","-1.72%",-0.017357924577813
"05/08/2018",12424.35,"12,631.40","12,738.53","12,390.40","447.90M","-1.52%",-0.0152885692865451
"29/07/2018",12615.76,"12,822.87","12,860.59","12,493.20","467.38M","-1.90%",-0.0192059965072958
"22/07/2018",12860.4,"12,510.23","12,886.83","12,489.33","451.19M","2.38%",0.0235226105504189
"15/07/2018",12561.42,"12,530.98","12,778.96","12,469.50","472.89M","0.16%",0.0016484647478653
"08/07/2018",12540.73,"12,541.74","12,639.79","12,398.47","405.91M","0.36%",0.00355954986834567
"01/07/2018",12496.17,"12,147.94","12,516.51","12,132.72","514.67M","1.55%",0.0153352490398864
"24/06/2018",12306,"12,497.48","12,518.89","12,104.41","525.94M","-2.18%",-0.0219990451546235
"17/06/2018",12579.72,"12,945.53","12,982.92","12,472.98","490.83M","-3.31%",-0.0336745733308657
"10/06/2018",13010.55,"12,816.32","13,170.05","12,751.66","730.75M","1.91%",0.0189320977082535
"03/06/2018",12766.55,"12,839.44","12,925.24","12,610.68","524.21M","0.33%",0.0033172756915526
"27/05/2018",12724.27,"13,016.55","13,040.63","12,547.61","674.29M","-1.65%",-0.0166582971345021
"20/05/2018",12938.01,"13,132.56","13,204.31","12,801.82","476.66M","-1.07%",-0.0107405283698738
"13/05/2018",13077.72,"13,009.83","13,133.19","12,918.29","519.81M","0.59%",0.00586528138025944
"06/05/2018",13001.24,"12,827.43","13,034.21","12,813.55","431.85M","1.42%",0.0140694877703931
"29/04/2018",12819.6,"12,606.27","12,827.54","12,563.74","417.86M","1.90%",0.0187978434839859
"22/04/2018",12580.87,"12,538.16","12,647.16","12,312.27","535.89M","0.32%",0.00321399945553429
"15/04/2018",12540.5,"12,478.99","12,640.25","12,375.63","426.17M","0.79%",0.0078534120699716
"08/04/2018",12442.4,"12,311.02","12,523.97","12,205.39","447.63M","1.64%",0.0162969648766052
"01/04/2018",12241.27,"11,997.47","12,322.37","11,792.35","410.96M","1.19%",0.0118778617263504
"25/03/2018",12096.73,"11,919.64","12,151.31","11,726.62","436.62M","1.77%",0.0175478504370754
"18/03/2018",11886.31,"12,346.51","12,369.77","11,818.70","580.60M","-4.06%",-0.0414684790532234
"11/03/2018",12389.58,"12,453.30","12,459.90","12,162.47","713.80M","0.35%",0.00346859573851296
"04/03/2018",12346.68,"11,831.57","12,407.98","11,830.98","516.73M","3.63%",0.0356973632239445
"25/02/2018",11913.71,"12,566.05","12,601.46","11,877.66","511.05M","-4.57%",-0.0467411649365407
"18/02/2018",12483.79,"12,495.07","12,513.32","12,283.70","453.12M","0.26%",0.00255296249665475
"11/02/2018",12451.96,"12,238.63","12,484.12","12,075.21","578.87M","2.85%",0.028054596813628
"04/02/2018",12107.48,"12,687.79","12,752.60","12,003.36","826.88M","-5.30%",-0.0544616799052597
"28/01/2018",12785.16,"13,358.90","13,370.02","12,782.07","587.19M","-4.16%",-0.0424946607039983
"21/01/2018",13340.17,"13,435.14","13,596.89","13,222.47","494.71M","-0.70%",-0.00704251934611163
"14/01/2018",13434.45,"13,244.37","13,445.47","13,137.51","443.36M","1.43%",0.0141999156534454
