"Date","Price","Open","High","Low","Vol.","Change..","log_return"
"30/12/2018",6837.42,"6,733.97","6,850.37","6,599.48","2.22B","1.54%",0.0152456017723323
"23/12/2018",6733.97,"6,721.17","6,742.48","6,536.53","1.32B","0.19%",0.00190261920147836
"16/12/2018",6721.17,"6,845.17","6,845.17","6,646.45","4.97B","-1.81%",-0.0182810475554441
"09/12/2018",6845.17,"6,778.11","6,908.48","6,719.17","4.35B","0.99%",0.00984499204919966
"02/12/2018",6778.11,"6,980.24","7,145.49","6,673.57","4.46B","-2.90%",-0.0293849981080509
"25/11/2018",6980.24,"6,952.86","7,078.37","6,952.86","4.53B","0.39%",0.00393021441659796
"18/11/2018",6952.86,"7,013.88","7,070.46","6,904.21","4.01B","-0.87%",-0.00873795721104543
"11/11/2018",7013.88,"7,105.34","7,186.31","6,968.99","5.10B","-1.29%",-0.0129555710965553
"04/11/2018",7105.34,"7,094.12","7,171.69","7,027.45","3.31B","0.16%",0.00158034211655153
"28/10/2018",7094.12,"6,939.56","7,196.39","6,939.56","4.38B","2.23%",0.0220278999793297
"21/10/2018",6939.56,"7,049.80","7,114.12","6,851.59","4.28B","-1.56%",-0.0157608756950064
"14/10/2018",7049.8,"6,995.91","7,089.03","6,961.28","3.66B","0.77%",0.00767355504783839
"07/10/2018",6995.91,"7,318.54","7,319.84","6,994.78","4.66B","-4.41%",-0.0450851619481919
"30/09/2018",7318.54,"7,510.20","7,526.20","7,318.54","4.02B","-2.55%",-0.0258512420520931
"23/09/2018",7510.2,"7,490.23","7,552.02","7,450.53","3.81B","0.27%",0.00266259191208993
"16/09/2018",7490.23,"7,304.04","7,495.26","7,267.83","4.59B","2.55%",0.0251718849388747
"09/09/2018",7304.04,"7,277.70","7,325.25","7,220.50","3.36B","0.36%",0.00361274150395171
"02/09/2018",7277.7,"7,432.42","7,535.12","7,227.07","3.57B","-2.08%",-0.0210366340686957
"26/08/2018",7432.42,"7,577.49","7,636.72","7,428.67","2.79B","-1.91%",-0.0193304979588055
"19/08/2018",7577.49,"7,558.59","7,616.15","7,531.24","2.88B","0.25%",0.00249734539231485
"12/08/2018",7558.59,"7,667.01","7,667.33","7,477.05","3.81B","-1.41%",-0.0142420440068589
"05/08/2018",7667.01,"7,659.10","7,790.17","7,636.60","3.42B","0.10%",0.00103222549000826
"29/07/2018",7659.1,"7,701.31","7,782.90","7,549.34","4.41B","-0.55%",-0.00549596088230653
"22/07/2018",7701.31,"7,678.79","7,740.64","7,621.75","3.56B","0.29%",0.00292846159570876
"15/07/2018",7678.79,"7,661.87","7,705.80","7,564.96","3.45B","0.22%",0.00220590337848217
"08/07/2018",7661.87,"7,617.70","7,716.24","7,578.18","3.60B","0.58%",0.0057815924189556
"01/07/2018",7617.7,"7,636.93","7,636.93","7,540.71","3.76B","-0.25%",-0.00252120309522216
"24/06/2018",7636.93,"7,682.27","7,706.64","7,508.32","5.37B","-0.59%",-0.00591938644178
"17/06/2018",7682.27,"7,633.91","7,705.20","7,548.12","4.02B","0.63%",0.00631491151301003
"10/06/2018",7633.91,"7,681.07","7,793.45","7,633.91","5.35B","-0.61%",-0.00615869548154271
"03/06/2018",7681.07,"7,701.77","7,772.12","7,637.52","4.48B","-0.27%",-0.00269131220170691
"27/05/2018",7701.77,"7,730.28","7,746.73","7,610.66","4.68B","-0.37%",-0.00369491187959566
"20/05/2018",7730.28,"7,778.79","7,903.50","7,703.26","4.26B","-0.62%",-0.00625571464942175
"13/05/2018",7778.79,"7,724.55","7,791.41","7,687.49","4.52B","0.70%",0.00699723044254931
"06/05/2018",7724.55,"7,567.14","7,728.89","7,550.44","3.47B","2.08%",0.020588379731046
"29/04/2018",7567.14,"7,502.21","7,572.98","7,492.39","4.09B","0.87%",0.00861754512560431
"22/04/2018",7502.21,"7,368.17","7,507.12","7,334.64","4.18B","1.82%",0.0180282723693876
"15/04/2018",7368.17,"7,264.56","7,368.17","7,189.85","4.13B","1.43%",0.0141616405953175
"08/04/2018",7264.56,"7,183.64","7,274.99","7,145.57","3.62B","1.13%",0.0112015124528226
"01/04/2018",7183.64,"7,056.61","7,214.02","6,971.75","3.13B","1.80%",0.0178414521707459
"25/03/2018",7056.61,"6,921.94","7,109.93","6,866.94","3.19B","1.95%",0.0192686890544015
"18/03/2018",6921.94,"7,164.14","7,164.19","6,876.96","4.09B","-3.38%",-0.03439194900218
