"Date","Price","Open","High","Low","Vol.","Change..","log_return"
"30/12/2018",2531.94,"2,498.94","2,538.07","2,443.96","","1.86%",0.0184154053794457
"23/12/2018",2485.74,"2,400.56","2,520.27","2,346.58","","2.86%",0.0282005322720498
"16/12/2018",2416.62,"2,590.75","2,601.13","2,408.55","","-7.05%",-0.073122344406093
"09/12/2018",2599.95,"2,630.86","2,685.44","2,583.23","","-1.26%",-0.0126620495721683
"02/12/2018",2633.08,"2,790.50","2,800.18","2,621.53","","-4.60%",-0.047138008389652
"25/11/2018",2760.17,"2,649.97","2,760.88","2,649.97","","4.85%",0.0473355152460608
"18/11/2018",2632.56,"2,730.74","2,733.16","2,631.09","","-3.79%",-0.0386389223128127
"11/11/2018",2736.27,"2,773.93","2,775.99","2,670.75","","-1.61%",-0.0162184919723375
"04/11/2018",2781.01,"2,726.37","2,815.15","2,717.94","","2.13%",0.0210579231045861
"28/10/2018",2723.06,"2,682.65","2,756.55","2,603.54","","2.42%",0.0239227276877124
"21/10/2018",2658.69,"2,773.94","2,778.94","2,628.16","","-3.94%",-0.0402120345460502
"14/10/2018",2767.78,"2,763.83","2,816.94","2,749.03","","0.02%",0.000234872835507036
"07/10/2018",2767.13,"2,877.53","2,894.83","2,710.51","","-4.10%",-0.0419117721093584
"30/09/2018",2885.57,"2,926.29","2,939.86","2,869.29","","-0.97%",-0.00979739022967347
"23/09/2018",2913.98,"2,921.83","2,931.15","2,903.28","","-0.54%",-0.00536994436814229
"16/09/2018",2929.67,"2,903.83","2,940.91","2,886.16","","0.85%",0.00846328310102843
"09/09/2018",2904.98,"2,881.39","2,908.30","2,866.78","","1.16%",0.0115292812331649
"02/09/2018",2871.68,"2,896.96","2,900.18","2,864.12","","-1.03%",-0.010337513245729
"26/08/2018",2901.52,"2,884.69","2,916.50","2,884.69","","0.93%",0.00928989526244889
"19/08/2018",2874.69,"2,853.93","2,876.16","2,850.62","","0.86%",0.00858023507334846
"12/08/2018",2850.13,"2,835.46","2,855.63","2,802.49","","0.59%",0.00592955615377381
"05/08/2018",2833.28,"2,840.29","2,863.43","2,825.81","","-0.25%",-0.00249223289479427
"29/07/2018",2840.35,"2,819.00","2,840.38","2,796.34","","0.76%",0.00760892635299619
"22/07/2018",2818.82,"2,799.17","2,848.03","2,795.14","","0.61%",0.00604558253844589
"15/07/2018",2801.83,"2,801.43","2,816.76","2,789.24","","0.02%",0.000185610211949998
"08/07/2018",2801.31,"2,768.51","2,804.53","2,768.51","","1.50%",0.014921704701979
"01/07/2018",2759.82,"2,704.95","2,764.41","2,698.95","","1.52%",0.0151330242398459
