"Date","Price","Open","High","Low","Vol.","Change %"
"30/12/2018","4,737.12","4,708.74","4,750.51","4,606.20","283.44M","1.25%"
"23/12/2018","4,678.74","4,650.42","4,700.49","4,555.99","187.25M","-0.33%"
"16/12/2018","4,694.38","4,840.12","4,847.50","4,628.24","615.75M","-3.28%"
"09/12/2018","4,853.70","4,797.92","4,935.48","4,732.02","510.38M","0.84%"
"02/12/2018","4,813.13","5,112.58","5,115.13","4,760.98","516.15M","-3.81%"
"25/11/2018","5,003.92","4,982.54","5,036.81","4,958.71","467.95M","1.15%"
"18/11/2018","4,946.95","5,040.68","5,062.75","4,894.30","389.56M","-1.56%"
"11/11/2018","5,025.20","5,130.38","5,140.45","4,986.19","457.36M","-1.60%"
"04/11/2018","5,106.75","5,101.87","5,168.11","5,066.39","408.49M","0.09%"
"28/10/2018","5,102.13","4,958.51","5,162.18","4,929.94","505.65M","2.71%"
"21/10/2018","4,967.37","5,130.29","5,135.69","4,896.80","580.40M","-2.31%"
"14/10/2018","5,084.66","5,095.12","5,205.38","5,057.45","502.29M","-0.22%"
"07/10/2018","5,095.98","5,339.49","5,349.31","5,095.74","507.84M","-4.91%"
"30/09/2018","5,359.36","5,494.93","5,519.94","5,354.79","414.98M","-2.44%"
"23/09/2018","5,493.49","5,480.64","5,546.80","5,458.21","425.59M","-0.01%"
"16/09/2018","5,494.17","5,344.55","5,499.03","5,329.97","580.25M","2.65%"
"09/09/2018","5,352.57","5,250.76","5,366.34","5,240.04","375.41M","1.91%"
"02/09/2018","5,252.22","5,400.70","5,428.22","5,226.31","406.75M","-2.86%"
"26/08/2018","5,406.85","5,455.40","5,506.76","5,403.16","322.66M","-0.47%"
"19/08/2018","5,432.50","5,362.37","5,449.75","5,356.32","288.96M","1.64%"
"12/08/2018","5,344.93","5,402.41","5,447.93","5,287.18","363.01M","-1.29%"
"05/08/2018","5,414.68","5,487.28","5,539.41","5,391.01","353.72M","-1.17%"
"29/07/2018","5,478.98","5,490.20","5,531.58","5,445.91","427.95M","-0.59%"
"22/07/2018","5,511.76","5,382.86","5,514.40","5,358.82","453.93M","2.10%"
"15/07/2018","5,398.32","5,429.43","5,459.72","5,342.30","369.98M","-0.57%"
"08/07/2018","5,429.20","5,403.04","5,439.56","5,349.48","384.93M","0.99%"
"01/07/2018","5,375.77","5,264.40","5,393.46","5,242.64","408.63M","0.98%"
"24/06/2018","5,323.53","5,350.96","5,371.58","5,246.41","420.48M","-1.19%"
"17/06/2018","5,387.38","5,487.70","5,491.84","5,302.09","435.43M","-2.08%"
"10/06/2018","5,501.88","5,459.81","5,560.62","5,408.30","554.90M","0.95%"
"03/06/2018","5,450.22","5,497.74","5,512.82","5,405.36","424.22M","-0.28%"
"27/05/2018","5,465.53","5,565.66","5,577.38","5,381.38","578.89M","-1.39%"
"20/05/2018","5,542.55","5,626.70","5,657.44","5,519.78","418.35M","-1.28%"
"13/05/2018","5,614.51","5,539.05","5,643.15","5,524.44","432.89M","1.31%"
"06/05/2018","5,541.94","5,511.94","5,547.20","5,496.39","308.21M","0.47%"
"29/04/2018","5,516.05","5,477.44","5,538.73","5,474.48","342.21M","0.60%"
"22/04/2018","5,483.19","5,404.72","5,483.19","5,388.67","400.43M","1.30%"
"15/04/2018","5,412.83","5,322.41","5,425.79","5,298.94","397.95M","1.84%"
"08/04/2018","5,315.02","5,271.00","5,339.05","5,247.57","368.63M","1.08%"
"01/04/2018","5,258.24","5,144.63","5,282.72","5,094.69","346.92M","1.76%"
"25/03/2018","5,167.30","5,106.34","5,194.98","5,038.12","373.67M","1.41%"
"18/03/2018","5,095.22","5,263.39","5,265.44","5,059.67","432.24M","-3.55%"
"11/03/2018","5,282.75","5,298.22","5,311.66","5,224.31","471.55M","0.16%"
"04/03/2018","5,274.40","5,116.39","5,293.08","5,115.94","487.81M","2.68%"
"25/02/2018","5,136.58","5,343.57","5,363.52","5,121.24","473.09M","-3.40%"
"18/02/2018","5,317.37","5,295.33","5,322.35","5,249.85","367.13M","0.68%"
"11/02/2018","5,281.58","5,130.40","5,291.48","5,081.62","495.03M","3.98%"
"04/02/2018","5,079.21","5,322.94","5,332.77","5,051.21","677.16M","-5.33%"
"28/01/2018","5,364.98","5,534.14","5,537.53","5,364.98","422.78M","-2.97%"
"21/01/2018","5,529.15","5,520.21","5,567.03","5,456.05","410.97M","0.05%"
"14/01/2018","5,526.51","5,515.55","5,535.95","5,474.11","370.03M","0.17%"
"07/01/2018","5,517.06","5,483.47","5,529.30","5,478.92","424.58M","0.85%"
"31/12/2017","5,470.75","5,318.74","5,470.75","5,258.66","320.65M","2.98%"
"24/12/2017","5,312.56","5,359.82","5,388.14","5,312.56","133.75M","-0.97%"
"17/12/2017","5,364.72","5,386.40","5,427.87","5,323.54","341.71M","0.29%"
"10/12/2017","5,349.30","5,411.71","5,429.03","5,330.10","487.49M","-0.92%"
"03/12/2017","5,399.09","5,363.29","5,425.75","5,316.55","422.24M","1.55%"
"26/11/2017","5,316.89","5,378.96","5,441.69","5,299.06","462.52M","-1.36%"
"19/11/2017","5,390.46","5,311.28","5,419.88","5,302.85","328.65M","1.34%"
"12/11/2017","5,319.17","5,382.65","5,384.76","5,267.22","445.32M","-1.14%"
"05/11/2017","5,380.72","5,507.07","5,525.55","5,375.12","438.09M","-2.49%"
"29/10/2017","5,517.97","5,488.33","5,536.40","5,486.24","374.51M","0.43%"
"22/10/2017","5,494.13","5,377.45","5,513.53","5,364.16","417.80M","2.27%"
"15/10/2017","5,372.38","5,362.53","5,394.23","5,343.00","382.65M","0.39%"
"08/10/2017","5,351.74","5,364.81","5,378.51","5,338.14","326.64M","-0.15%"
"01/10/2017","5,359.90","5,332.92","5,381.74","5,326.66","354.42M","0.56%"
"24/09/2017","5,329.81","5,267.99","5,329.81","5,255.11","373.35M","0.92%"
"17/09/2017","5,281.29","5,231.99","5,295.93","5,219.71","361.33M","1.29%"
"10/09/2017","5,213.91","5,145.78","5,237.17","5,145.78","599.70M","1.96%"
"03/09/2017","5,113.49","5,088.28","5,148.06","5,050.09","472.61M","-0.19%"
"27/08/2017","5,123.26","5,076.47","5,138.42","4,995.07","377.83M","0.37%"
"20/08/2017","5,104.33","5,091.31","5,149.08","5,066.19","296.70M","-0.19%"
"13/08/2017","5,114.15","5,082.87","5,200.16","5,074.45","308.57M","1.05%"
"06/08/2017","5,060.92","5,210.73","5,231.65","5,046.75","379.79M","-2.74%"
"30/07/2017","5,203.44","5,127.63","5,216.40","5,084.20","406.89M","1.40%"
"23/07/2017","5,131.39","5,133.68","5,218.56","5,094.36","455.30M","0.27%"
"16/07/2017","5,117.66","5,238.41","5,251.25","5,095.12","396.12M","-2.25%"
"09/07/2017","5,235.31","5,160.70","5,259.47","5,135.95","355.86M","1.75%"
"02/07/2017","5,145.16","5,151.19","5,200.73","5,111.16","395.65M","0.48%"
"25/06/2017","5,120.68","5,295.04","5,323.73","5,117.23","479.86M","-2.76%"
"18/06/2017","5,266.12","5,305.22","5,339.55","5,224.05","401.38M","0.05%"
"11/06/2017","5,263.31","5,282.58","5,314.96","5,176.67","553.98M","-0.69%"
"04/06/2017","5,299.71","5,337.11","5,343.79","5,250.68","399.97M","-0.82%"
"28/05/2017","5,343.41","5,327.73","5,372.97","5,273.56","458.37M","0.13%"
"21/05/2017","5,336.64","5,335.12","5,368.88","5,282.42","393.72M","0.23%"
"14/05/2017","5,324.40","5,411.27","5,417.40","5,238.51","562.30M","-1.50%"
