"Date","Price","Open","High","Low","Vol.","Change %"
"30/12/2018","10,767.69","10,477.77","10,786.34","10,386.97","267.73M","1.98%"
"23/12/2018","10,558.96","10,607.42","10,635.45","10,279.20","161.60M","-0.70%"
"16/12/2018","10,633.82","10,852.99","10,886.80","10,512.64","636.09M","-2.13%"
"09/12/2018","10,865.77","10,726.17","10,988.77","10,585.77","509.29M","0.72%"
"02/12/2018","10,788.09","11,534.75","11,566.97","10,762.41","506.02M","-4.17%"
"25/11/2018","11,257.24","11,315.90","11,403.72","11,208.60","452.82M","0.58%"
"18/11/2018","11,192.69","11,384.00","11,419.55","11,009.25","431.82M","-1.31%"
"11/11/2018","11,341.00","11,591.59","11,598.51","11,233.21","525.30M","-1.63%"
"04/11/2018","11,529.16","11,522.33","11,648.79","11,418.35","436.95M","0.09%"
"28/10/2018","11,518.99","11,270.67","11,689.96","11,212.58","550.60M","2.84%"
"21/10/2018","11,200.62","11,665.68","11,677.45","11,051.04","583.00M","-3.06%"
"14/10/2018","11,553.83","11,523.81","11,847.79","11,459.08","491.94M","0.26%"
"07/10/2018","11,523.81","12,044.96","12,072.27","11,514.55","529.39M","-4.86%"
"30/09/2018","12,111.90","12,265.89","12,373.29","12,103.55","365.40M","-1.10%"
"23/09/2018","12,246.73","12,383.42","12,456.69","12,190.57","444.58M","-1.48%"
"16/09/2018","12,430.88","12,056.38","12,458.30","12,040.80","785.83M","2.53%"
"09/09/2018","12,124.33","11,950.55","12,134.54","11,865.47","474.91M","1.38%"
"02/09/2018","11,959.63","12,338.36","12,402.87","11,888.57","447.39M","-3.27%"
"26/08/2018","12,364.06","12,462.75","12,597.02","12,348.91","358.00M","-0.25%"
"19/08/2018","12,394.52","12,263.01","12,444.35","12,245.56","338.33M","1.51%"
"12/08/2018","12,210.55","12,346.75","12,461.82","12,120.65","455.68M","-1.72%"
"05/08/2018","12,424.35","12,631.40","12,738.53","12,390.40","447.90M","-1.52%"
"29/07/2018","12,615.76","12,822.87","12,860.59","12,493.20","467.38M","-1.90%"
"22/07/2018","12,860.40","12,510.23","12,886.83","12,489.33","451.19M","2.38%"
"15/07/2018","12,561.42","12,530.98","12,778.96","12,469.50","472.89M","0.16%"
"08/07/2018","12,540.73","12,541.74","12,639.79","12,398.47","405.91M","0.36%"
"01/07/2018","12,496.17","12,147.94","12,516.51","12,132.72","514.67M","1.55%"
"24/06/2018","12,306.00","12,497.48","12,518.89","12,104.41","525.94M","-2.18%"
"17/06/2018","12,579.72","12,945.53","12,982.92","12,472.98","490.83M","-3.31%"
"10/06/2018","13,010.55","12,816.32","13,170.05","12,751.66","730.75M","1.91%"
"03/06/2018","12,766.55","12,839.44","12,925.24","12,610.68","524.21M","0.33%"
"27/05/2018","12,724.27","13,016.55","13,040.63","12,547.61","674.29M","-1.65%"
"20/05/2018","12,938.01","13,132.56","13,204.31","12,801.82","476.66M","-1.07%"
"13/05/2018","13,077.72","13,009.83","13,133.19","12,918.29","519.81M","0.59%"
"06/05/2018","13,001.24","12,827.43","13,034.21","12,813.55","431.85M","1.42%"
"29/04/2018","12,819.60","12,606.27","12,827.54","12,563.74","417.86M","1.90%"
"22/04/2018","12,580.87","12,538.16","12,647.16","12,312.27","535.89M","0.32%"
"15/04/2018","12,540.50","12,478.99","12,640.25","12,375.63","426.17M","0.79%"
"08/04/2018","12,442.40","12,311.02","12,523.97","12,205.39","447.63M","1.64%"
"01/04/2018","12,241.27","11,997.47","12,322.37","11,792.35","410.96M","1.19%"
"25/03/2018","12,096.73","11,919.64","12,151.31","11,726.62","436.62M","1.77%"
"18/03/2018","11,886.31","12,346.51","12,369.77","11,818.70","580.60M","-4.06%"
"11/03/2018","12,389.58","12,453.30","12,459.90","12,162.47","713.80M","0.35%"
"04/03/2018","12,346.68","11,831.57","12,407.98","11,830.98","516.73M","3.63%"
"25/02/2018","11,913.71","12,566.05","12,601.46","11,877.66","511.05M","-4.57%"
"18/02/2018","12,483.79","12,495.07","12,513.32","12,283.70","453.12M","0.26%"
"11/02/2018","12,451.96","12,238.63","12,484.12","12,075.21","578.87M","2.85%"
"04/02/2018","12,107.48","12,687.79","12,752.60","12,003.36","826.88M","-5.30%"
"28/01/2018","12,785.16","13,358.90","13,370.02","12,782.07","587.19M","-4.16%"
"21/01/2018","13,340.17","13,435.14","13,596.89","13,222.47","494.71M","-0.70%"
"14/01/2018","13,434.45","13,244.37","13,445.47","13,137.51","443.36M","1.43%"
"07/01/2018","13,245.03","13,399.62","13,425.02","13,151.84","524.31M","-0.56%"
"31/12/2017","13,319.64","12,897.69","13,332.80","12,745.15","396.51M","3.11%"
"24/12/2017","12,917.64","13,070.19","13,128.74","12,911.73","134.02M","-1.19%"
"17/12/2017","13,072.79","13,211.63","13,338.91","13,013.63","382.08M","-0.23%"
"10/12/2017","13,103.56","13,181.85","13,192.42","13,008.07","590.03M","-0.38%"
"03/12/2017","13,153.70","13,038.77","13,240.92","12,864.68","445.77M","2.27%"
"26/11/2017","12,861.49","13,036.74","13,196.15","12,810.13","478.25M","-1.52%"
"19/11/2017","13,059.84","12,932.81","13,209.01","12,921.15","416.96M","0.51%"
"12/11/2017","12,993.73","13,150.78","13,163.94","12,847.88","542.51M","-1.02%"
"05/11/2017","13,127.47","13,459.42","13,525.56","13,111.65","551.59M","-2.61%"
"29/10/2017","13,478.86","13,227.85","13,505.01","13,214.60","388.84M","1.98%"
"22/10/2017","13,217.54","13,014.57","13,249.03","12,931.22","474.72M","1.74%"
"15/10/2017","12,991.28","13,017.18","13,094.76","12,911.58","358.25M","0.00%"
"08/10/2017","12,991.87","12,975.86","13,036.74","12,909.28","351.95M","0.28%"
"01/10/2017","12,955.94","12,866.27","12,993.53","12,849.59","349.97M","0.99%"
"24/09/2017","12,828.86","12,573.35","12,828.86","12,551.87","434.46M","1.88%"
"17/09/2017","12,592.35","12,593.55","12,646.56","12,518.22","424.27M","0.59%"
"10/09/2017","12,518.81","12,381.52","12,565.85","12,381.33","532.82M","1.75%"
"03/09/2017","12,303.98","12,051.80","12,363.60","12,050.53","358.22M","1.33%"
"27/08/2017","12,142.64","12,105.49","12,191.23","11,868.84","352.34M","-0.21%"
"20/08/2017","12,167.94","12,105.72","12,269.92","12,021.70","330.80M","0.02%"
"13/08/2017","12,165.19","12,100.17","12,301.40","12,080.74","375.95M","1.26%"
"06/08/2017","12,014.06","12,305.74","12,336.00","11,934.92","449.18M","-2.31%"
"30/07/2017","12,297.72","12,141.53","12,321.98","12,092.06","447.28M","1.11%"
"23/07/2017","12,162.70","12,228.63","12,341.03","12,098.57","447.08M","-0.63%"
"16/07/2017","12,240.06","12,652.37","12,656.13","12,190.89","466.11M","-3.10%"
"09/07/2017","12,631.72","12,464.96","12,676.52","12,406.20","398.14M","1.96%"
"02/07/2017","12,388.68","12,396.34","12,496.82","12,316.43","428.48M","0.52%"
"25/06/2017","12,325.12","12,783.89","12,841.31","12,319.00","513.59M","-3.21%"
"18/06/2017","12,733.41","12,849.99","12,951.54","12,677.40","386.32M","-0.15%"
"11/06/2017","12,752.73","12,760.39","12,921.17","12,620.90","628.08M","-0.49%"
"04/06/2017","12,815.72","12,768.46","12,821.03","12,640.52","405.09M","-0.06%"
"28/05/2017","12,822.94","12,588.80","12,878.59","12,567.22","434.30M","1.75%"
"21/05/2017","12,602.18","12,664.97","12,703.74","12,529.51","375.13M","-0.29%"
"14/05/2017","12,638.69","12,824.05","12,841.66","12,489.95","521.78M","-1.03%"
"07/05/2017","12,770.41","12,758.48","12,783.23","12,659.70","534.79M","0.42%"
"30/04/2017","12,716.89","12,478.46","12,718.66","12,433.51","382.99M","2.24%"
"23/04/2017","12,438.01","12,296.56","12,486.29","12,289.37","585.78M","3.23%"
"16/04/2017","12,048.57","12,135.61","12,162.47","11,941.57","370.68M","-0.50%"
"09/04/2017","12,109.00","12,244.50","12,246.88","12,049.93","294.98M","-0.95%"
